10mm,20mm
9.169066667,9.760866667
9.1638,9.7547
9.1616,9.7528
9.1616,9.7527
10.0657,9.642333333
10.0553,9.635
10.053,9.6345
10.0574,9.6339
10.4139,9.274666667
10.4024,9.2668
10.4018,9.2648
10.4006,9.2646
9.4986,9.298266667
9.491,9.2965
9.4893,9.2942
9.4883,9.2828
