Samples_Number,Sample_ID,Percentage_Corroded,Insulation_Thickness,Duration,Optical_Zoom
4,A,54.99750773,10,3,10
7,B,57.96620051,10,6,10
2,C,57.21534093,20,3,10
3,D,63.18295797,20,6,10
